"#","Url","Title","Author","Published Date","Published Time","TimeZone","Emotions","FB Shares","Total Page Views","FB CTR","FB Ad ID"
1,"https://kasra.co/FIcke","كيف استطاع Mr. Robot حذف معلومات كل الناس؟ تعرّف على الثغرة التي تخاف منها شركات أمن المعلومات","عبدالله القحطاني","2016-09-02","06:00","AST","surprise",22,"99",0.87431693989071,"6049418133943"
2,"https://kasra.co/AjVQ6","هل وقعت في هذا الموقف من قبل: أن تقيس خاتماً ويعلق بإصبعك فلا تتمكن من نزعه؟ هذه الطريقة ستنقذك","ندى حنان","2016-09-02","07:00","AST","surprise",72,"630",2.5185185185185,"6049418503543"
3,"https://kasra.co/Rr51T","الحرب الباردة في العالم الافتراضي مقززة والتعليقات تكشف عن وجهها الأسود ","بشرى أحمد","2016-09-02","08:00","AST","anger",30,"56",0.82944530844997,"6049418480743"
4,"https://kasra.co/tDfe8","هل يمكنك التعرف على أسماء أدوات الطبخ التالية؟","حلا مرقه","2016-09-02","08:30","AST","joy",16,"253",,"6049270458343"
5,"https://kasra.co/bZ719","أشكال رائعة من فطر المشروم وفطريات أخرى لن تتخيل أنها حقيقية وتنمو على كوكبنا","أيمن عبد الرحمن","2016-09-02","09:00","AST","surprise",49,"43",,"6049272114743"
6,"https://kasra.co/P0GjA","بالصور: عروس تعاني من شلل نصفي تقف على ساقيها في عرسها","ياسمينة الحربي","2016-09-02","10:00","AST","surprise",27,"158",,"6049274305143"
7,"https://kasra.co/C6FrB","ما فعله الأب مع ابنه في مجمع العرب لا يغيب عن ذهني","أفنان عبد الله","2016-09-02","11:00","AST","sadness",24,"237",,"6049276924143"
8,"https://kasra.co/EKwom","ما مدى رضا والديك عنك؟ أجب بصراحة عن  أسئلة الاختبار واكتشف","سوزان السويركي","2016-09-02","11:30","AST","love-it",21,"367",,"6049277980943"
9,"https://kasra.co/FhtUc","صور طفلة صغيرة استغلت أمها فرصة نومها لتلبسها ملابس شخصيات متعددة. رقم 14 أوقعتني من الضحك","أمنية أسعد","2016-09-02","12:00","AST","laughter",203,"1064",,"6049279168343"
10,"https://kasra.co/ILXLa","Mr.Robot عندما تتداخل التكنولوجيا والجريمة","أميرة صلاح","2016-09-02","13:00","AST","surprise",2,"62",,"6049281743143"
11,"https://kasra.co/ndBWm","هل أنت مختلف عن الآخرين أم أنك تمتلك الصفات السائدة عند معظم البشر؟","حلا مرقه","2016-09-02","13:30","AST","joy",34,"1174",,"6049283394743"
12,"https://kasra.co/bhnod","هل من الممكن أن يكون كوب الشاي الذي بين يديك سماً قاتلاً؟ تعرّف على آخر ما توصلت إليه الأبحاث","آلاء الغامدي","2016-09-02","14:00","AST","weird",67,"376",,"6049285151743"
13,"https://kasra.co/gGAVF","هل يصل الرجل يوماً إلى لقب عانس بدلاً من عازب؟","إيهاب عبدالفتاح","2016-09-02","15:00","AST","laughter",32,"50",,"6049288389943"
14,"https://kasra.co/i9zrH","هل ستنجح في تحقيق أهدافك؟","سوزان السويركي","2016-09-02","15:30","AST","wow",64,"386",,"6049290025143"
15,"https://kasra.co/4vJ3l","مسرحيات عربية تكررها القنوات العربية جميعاً أيام العيد. أكيد تعرفها","نعيمة علواش","2016-09-02","16:00","AST","laughter",32,"60",,"6049292784743"
